,mi_3,mi_7,mi_11,mi_21,mi_31,eqw_2,eqf_2,kmeans_2,distortion_aligned_2,eqw_5,eqf_5,kmeans_5,distortion_aligned_5,eqw_square-root,eqf_square-root,kmeans_square-root,distortion_aligned_square-root,eqw_sturges-formula,eqf_sturges-formula,kmeans_sturges-formula,distortion_aligned_sturges-formula,eqw_rice-rule,eqf_rice-rule,kmeans_rice-rule,distortion_aligned_rice-rule
airfoil,0.12775096784549692,0.11058223349196973,0.10826875047300563,0.10784500427706754,0.10797010654703834,0.1100389980774531,0.24950890323231426,0.10977884415977204,0.10744140484482202,0.10867908567390183,0.2244704736874168,0.10754642895699278,0.10711377792506493,0.10987119940984874,0.214570713670105,0.1110026598350549,0.10999520172891623,0.10927509942414555,0.21091581889156427,0.10735586021292459,0.10730616014924027,0.10968637050816293,0.20297455744981702,0.10858934738402796,0.10963349890953104
cpu_performance,0.330787377393273,0.3254620457095093,0.2736321271913048,0.29667579330098626,0.30836145452272445,0.36975388284678556,0.6417575150438626,0.2773726966746034,0.2916080923499442,0.3258565310317039,0.6911946946324907,0.2828034096547458,0.25941954539637196,0.2967341148204878,0.5315971325850566,0.2812271194918431,0.2868656831583178,0.2967341148204878,0.6609783895587963,0.2734942025035295,0.2818467264291602,0.2967341148204878,0.5577636585687087,0.2769205373517975,0.2776298827992739
forestfires,-0.27526613736776745,-0.2628432723892042,-0.25896479130633226,-0.25262704952410014,-0.25713844415441217,-0.24213295966984025,-0.24918768664087415,-0.24208430212854132,-0.22820025903564523,-0.26534273601341446,-0.24612389935611065,-0.2543571860063157,-0.24125116673410027,-0.26528258328972293,-0.25466875013052714,-0.27171297783698267,-0.28478591360718153,-0.26528258328972293,-0.24920287270381727,-0.2721608232699747,-0.2569091251669866,-0.26528258328972293,-0.2583433462908143,-0.2775826855637949,-0.2674702330151383
real_estate_valuation,0.29043285920506173,0.2869676250337354,0.2855047344294045,0.2800950496485926,0.27876514055792107,0.32596579822728805,0.4456183298345903,0.2680272008153769,0.3288691486928267,0.2714723201227495,0.4422714478480492,0.27911787964588064,0.2692422225394985,0.28334707491969535,0.3945067548711941,0.28340220464590643,0.2835259886888714,0.28330624253604947,0.3998362294484564,0.2819739551433106,0.2831964258549494,0.2835554884622587,0.39864355968262727,0.2824826861610398,0.28356728358704164
slump_test,0.30605756512260796,0.34771388969544925,0.3426817101418653,0.364077336842596,0.42235696981584847,0.37180224873594125,0.37080017824031747,0.3400996419594928,0.3505787925379482,0.31391835415990654,0.29289572144450793,0.31291854025487736,0.332709851444088,0.3875887149670836,0.3155232109018113,0.32251616312539844,0.31589038784233797,0.3096029579200022,0.3058558166061107,0.30292886728569607,0.33450693403099313,0.3875887149670836,0.3155232109018113,0.32251616312539844,0.31589038784233797
stock_portfolio_performance,0.008336424982092633,-0.002843892001033716,-0.028449883643962906,-0.025847915694443394,-0.03885003850786965,-0.026579426878451242,0.2516538355613756,-0.03759790791562921,-0.036571484242365705,-0.04012514398439451,0.29508535051170154,-0.028174920101295933,-0.03181848717482862,-0.0394045989675068,0.2915866831457339,-0.02938158681961044,-0.03244470958236783,-0.025863471289153325,0.31631798987382265,-0.026531383366391364,-0.02993594461708541,-0.023337556445716758,0.30695587081116577,-0.025467174035650277,-0.026729015485511355
winequality_red,0.11503916685360409,0.11718198503883498,0.11244751904956428,0.11424839932893185,0.11448056894706594,0.11561030989238351,0.21489970669464142,0.11561030989238351,0.11627459063482809,0.12401629285466942,0.2070311956281362,0.12463720159602897,0.11810736503798808,0.12347812681894706,0.2143542445588833,0.11967867625787759,0.11967867625787759,0.12498680415102437,0.2070311956281362,0.12498680415102437,0.11915596621726282,0.12498680415102437,0.2070311956281362,0.12498680415102437,0.11915596621726282
winequality_white,0.07720910667584638,0.07526984160696062,0.07255946780744137,0.07303085017376307,0.0743009975896442,0.058681503440688954,0.1422011188368962,0.058681503440688954,0.06611506767818186,0.059796046989412745,0.12125956845164226,0.059796046989412745,0.061109502449866196,0.06013841774548742,0.13574222078600465,0.058595557892483774,0.058595557892483774,0.06012416561799355,0.11935519142968766,0.059752075261818104,0.059752075261818104,0.06012416561799355,0.11935519142968766,0.059752075261818104,0.059752075261818104
yacht_hydrodynamics,-0.04189093992174648,-0.04189093992174648,-0.04189093992174648,-0.04166187961475571,-0.04214803338631108,-0.036963109689517167,0.5879058721127197,-0.038544936103668555,-0.04047511572288335,-0.04014387950156936,0.6136881137042124,-0.03991015326939045,-0.040583213475802835,-0.04252097529430888,0.6391263541988992,-0.042823544182495975,-0.042886049219588836,-0.042446471123316426,0.6391907014644258,-0.042124142822004856,-0.04165654943321714,-0.042437567374145974,0.6285982934153244,-0.04273405719455226,-0.04270022475950573
diabetes,-0.2280377889566998,-0.0980956982922464,-0.16435075263611956,-0.2639155392991153,-0.2554322163153909,-0.0853251011130357,-0.2720922528408441,-0.10336808927787278,-0.09694460721459665,-0.15577378594113608,-0.210814611006875,-0.08537116907939817,-0.07542308106798724,-0.1547163815580235,-0.21233444411837982,-0.08595122571430502,-0.07505815746507355,-0.0626105427762078,-0.20623313270214946,-0.049296303904447086,-0.08495807609914023,-0.061510592743543493,-0.21015793768547678,-0.049296303904447086,-0.08495807609914023
